gridID,riparianArea,totalArea,percentRiparian
1481-3-10-13-2,0,0.5914226266227588,0
1481-3-10-13-4,0,0.13829759832693636,0
1481-3-10-14-1,0,1.079994854309857,0
1481-3-10-14-2,0.10763056096670032,1.0799889000611753,9.96589510879266
1481-3-10-14-3,0,1.0700252697373183,0
1481-3-10-14-4,0.12675886971851438,1.0798360600154848,11.73871427452577
1481-3-10-19-1,0,0.8931973873017878,0
1481-3-10-19-2,0.12661619754710793,1.0796831931298971,11.727162037232405
1481-3-10-19-3,0.01754301444900781,0.4453136208938807,3.939474030413355
1481-3-10-19-4,0.1864649213329479,1.0697163875810876,17.431248459658967
1481-3-10-4-4,0,0.07233442033845186,0
1481-3-10-5-1,0.17380464711687713,0.7922552353962213,21.937961322521808
1481-3-10-5-2,0.021987633140973746,1.0809053761991858,2.0341866758299787
1481-3-10-5-3,0.10574312584597617,1.0807586463651806,9.784157286329618
1481-3-10-5-4,0,1.0807526973387598,0
1481-3-10-9-2,0,0.6034223965987936,0
1481-3-10-9-4,0,0.6983688713158965,0
1481-3-10-a-1,0.08927320565556734,1.0941145199961961,8.159402331656992
1481-3-10-a-2,0.07441384995232522,1.0805999916072935,6.88634559784157
1481-3-10-a-3,0.02431131620812416,1.0804532101333886,2.2501035658103863
1481-3-10-a-4,0.039657067085936665,1.0804472590121628,3.670430625386985
1481-3-10-e-2,0.044316402891024946,0.697288678853169,6.355531680782793
1481-3-10-e-4,0,0.6677313284961283,0
1481-3-10-f-1,0.0014730427351146937,1.0803004517310113,0.1363549124462898
1481-3-10-f-2,0.06972791531474143,1.0802944995648414,6.454528403396376
1481-3-10-f-3,0.059656265457585456,1.080147666456774,5.522973136930146
1481-3-10-f-4,0.17957576627822966,1.0801417132366449,16.625204274366077
1481-3-11-1-1,0.07701321832825243,1.0808994281808286,7.124919888047951
1481-3-11-1-2,0.14935981751888244,1.0944036448360235,13.647598692095118
1481-3-11-1-3,0.16358437719710917,1.0807467482689024,15.136235890520345
1481-3-11-1-4,0.07639189121304453,1.0942490551993251,6.981216099759776
1481-3-11-10-1,0.012272609491348266,1.0799829457592218,1.1363706750684561
1481-3-11-10-2,0,1.0934756989680976,0
1481-3-11-10-3,0,1.0798301046595722,0
1481-3-11-10-4,0.029080349378719925,1.1032602274634242,2.635855862000972
1481-3-11-11-1,0.10627881033513695,1.079969052219987,9.840912581399436
1481-3-11-11-2,0,1.07996309777461,0
1481-3-11-11-3,0.07828856218957156,1.079816208685413,7.2501747575063185
1481-3-11-11-4,0,1.0798102531959117,0
1481-3-11-12-1,0,1.093455602733493,0
1481-3-11-12-2,0,1.0934495737741887,0
1481-3-11-12-3,0,1.093300846377015,0
1481-3-11-12-4,0,1.0797963569103182,0
1481-3-11-13-1,0,1.0799432493457943,0
1481-3-11-13-2,0,1.0799372947332264,0
1481-3-11-13-3,0,1.0797904012929649,0
1481-3-11-13-4,0,1.0797844456305354,0
1481-3-11-14-1,0,1.0799313400698454,0
1481-3-11-14-2,0,1.0934234478049725,0
1481-3-11-14-3,0,1.0797784899279474,0
1481-3-11-14-4,0,1.093268685804978,0
1481-3-11-15-1,0,1.0931721970258654,0
1481-3-11-15-2,0.06674387483442575,1.0931661661168188,6.105556218549606
1481-3-11-15-3,0.10929576505842059,1.0930173908718674,9.999453436988649
1481-3-11-15-4,0.034226669736109674,1.0893301840796024,3.1419922293834626
1481-3-11-16-1,0,1.0796633383191376,0
1481-3-11-16-2,0,1.0796573817887902,0
1481-3-11-16-3,0,1.0795104411055894,0
1481-3-11-16-4,0,1.079504483517185,0
1481-3-11-17-1,0,1.0931460628265888,0
1481-3-11-17-2,0,1.0894584238135143,0
1481-3-11-17-3,0,1.0929912520871312,0
1481-3-11-17-4,0,1.0794905823428929,0
1481-3-11-18-1,0.02232757525611669,1.079637526382208,2.0680621699891146
1481-3-11-18-2,0,1.0796315696764738,0
1481-3-11-18-3,0.03753632340022176,1.079484624631554,3.477244839224415
1481-3-11-18-4,0.01116233230253309,1.0794786668775975,1.0340484388468967
1481-3-11-19-1,0,1.0796256129223853,0
1481-3-11-19-2,0,1.0931138965962828,0
1481-3-11-19-3,0.008954781682111322,1.0794727090884,0.8295514658887035
1481-3-11-19-4,0,1.0929590802165865,0
1481-3-11-2-1,0.0024563832223936915,1.0808855492978544,0.2272565512592303
1481-3-11-2-2,0.07258892818073928,1.0808796011286974,6.715727459833551
1481-3-11-2-3,0.11580987005256861,1.080732866942808,10.715864539233747
1481-3-11-2-4,0.006018090831644833,1.0807269177262484,0.5568558285109019
1481-3-11-3-1,0,1.0808736529169232,0
1481-3-11-3-2,0,1.0943775471983106,0
1481-3-11-3-3,0,1.0807209684826433,0
1481-3-11-3-4,0,1.0942229529663174,0
1481-3-11-4-1,0,1.0710337756837531,0
1481-3-11-4-2,0,1.0808538252992927,0
1481-3-11-4-3,0,1.0807070867475868,0
1481-3-11-4-4,0,1.0807011373695732,0
1481-3-11-5-1,0.07516842528562248,1.0808478769186884,6.954579538048845
1481-3-11-5-2,0,1.0808419285069406,0
1481-3-11-5-3,0.07724503795937449,1.0806951879464834,7.147717397183386
1481-3-11-5-4,0.0029471359654963014,1.0806892384832352,0.2727089213576934
1481-3-11-6-1,0.02161325428904593,1.0805940414851158,2.0001271022503255
1481-3-11-6-2,0,1.094094438348189,0
1481-3-11-6-3,0,1.0804413078458608,0
1481-3-11-6-4,0.15542929960209875,1.0939397943022846,14.208213323223298
1481-3-11-7-1,0.11898791095288098,1.0805801577208192,11.011483979481227
1481-3-11-7-2,0,1.0805742074658722,0
1481-3-11-7-3,0.075875058679319915,1.080427421638444,7.022689091346561
1481-3-11-7-4,0.21104269780632853,1.0804214703393726,19.533367634765497
1481-3-11-8-1,0,1.0805682571773232,0
1481-3-11-8-2,0,1.0940683315223456,0
1481-3-11-8-3,0.008471269555196167,1.0804155189944058,0.7840751457439987
1481-3-11-8-4,0,1.0939136828877032,0
1481-3-11-9-1,0.04015238542698324,1.0805543729983271,3.715906059920725
1481-3-11-9-2,0.07269268426026404,1.0805484225622564,6.727387939532697
1481-3-11-9-3,0,1.0804016323780268,0
1481-3-11-9-4,0,1.0803956809084863,0
1481-3-11-a-1,0.07981520216573029,1.0805424720917642,7.3865862959759765
1481-3-11-a-2,0.19842486395866424,1.0940422239228338,18.136856112114717
1481-3-11-a-3,0.12485907931377739,1.0803897293864935,11.556855449253433
1481-3-11-a-4,0.007612252429768443,1.0938875706879794,0.695889836738968
1481-3-11-b-1,0.05609990761710704,1.080288547348678,5.193048445694576
1481-3-11-b-2,0.03781182416409999,1.0937851230542361,3.456970054457859
1481-3-11-b-3,4.910062028989197e-4,1.0801357599706203,0.04545782308996742
1481-3-11-b-4,0,1.0936304246106,0
1481-3-11-c-1,0.15442722773771733,1.0900953374110982,14.166396501105256
