gridID,gridArea,year,percentTOF,percentTOF_Zscore,percentTOF_group,percentRiparian,percentRiparian_Zscore,percentRiparian_group,total_rast_area,Water,Developed,Barren,Forest,Shrubland,Herbaceous,Planted,Wetlands,Water_Zscore,Water_group,Developed_Zscore,Developed_group,Barren_Zscore,Barren_group,Forest_Zscore,Forest_group,Shrubland_Zscore,Shrubland_group,Herbaceous_Zscore,Herbaceous_group,Planted_Zscore,Planted_group,Wetlands_Zscore,Wetlands_group,roadLengthKM,roadLengthKM_Zscore,roadLengthKM_group
1481-3-10-13-2,0.5924895089308322,2020,0.2854402750827869,0.60657468292229,0,0,0.49410889327885776,0,0.431877998570563,0,0,0,0,0,0.431877998570563,0,0,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.3462546977729064,0,0.10887867008910741,0,0.6278332607556407,0,0.7061566860643979,0,0.34614066918110703,0,0,0.7573375934120709,0
1481-3-10-13-4,0.138952016030699,2020,0,0.6861899582312468,0,0,0.49410889327885776,0,0.09056252114373452,0,0,0,0,0,0.09056252114373452,0,0,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.3462546977729064,0,0.10887867008910741,0,1.5968828102602697,1,0.7061566860643979,0,0.34614066918110703,0,0,0.7573375934120709,0
1481-3-10-14-1,1.0858584920234975,2020,0.32504556913193994,0.5955279363182904,0,0,0.49410889327885776,0,1.051515064355976,0,0,0,0,0,1.051515064355976,0,0,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.3462546977729064,0,0.10887867008910741,0,1.1314160530539024,1,0.7061566860643979,0,0.34614066918110703,0,0.7837549129641909,0.045659151075979114,0
1481-3-10-14-2,1.0858523136482985,2020,2.7491666659565124,0.08061024512776876,0,9.96589510879266,0.7686488958977112,0,1.0592408769037782,0,0.00441781913101673,0,0.20323319906282397,0,0.8460671950524213,0,0.00552266365751624,0.16970882291997166,0,0.4640618959718489,0,0.08979704389253033,0,1.3652913920960792,1,0.10887867008910741,0,0.5481165006977496,0,0.7061566860643979,0,0.2787399198685213,0,1.229215414379156,0.3588354562627584,0
1481-3-10-14-3,1.067693031903617,2020,0,0.6861899582312468,0,0,0.49410889327885776,0,1.0348013817792574,0,0,0,0,0,1.0348013817792574,0,0,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.3462546977729064,0,0.10887867008910741,0,1.083963219406753,1,0.7061566860643979,0,0.34614066918110703,0,0,0.7573375934120709,0
1481-3-10-14-4,1.0856978401505948,2020,3.3924642664388016,0.26003942887955117,0,11.73871427452577,0.9932791158521532,0,1.0657162185619775,0,0,0,0.39978290420263973,0,0.6339052036283622,0,0.03202811073097586,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,3.020551855682856,2,0.10887867008910741,0,0.054245524492172105,0,0.7061566860643979,0,0.04474293268305235,0,0.8195936274459124,0.013116273097433266,0
1481-3-10-19-1,0.9009743997360468,2020,0.39158667575659384,0.5769682270349807,0,0,0.49410889327885776,0,0.744246914639771,0,0,0,0,0,0.744246914639771,0,0,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.3462546977729064,0,0.10887867008910741,0,0.2590323442798312,0,0.7061566860643979,0,0.34614066918110703,0,0,0.7573375934120709,0
1481-3-10-19-2,1.0855448845043332,2020,2.1397171273343902,0.08937800474427222,0,11.727162037232404,0.9918153559524785,0,1.0633567236880053,0,0,0,0.26501119921594835,0,0.7707415737964501,0,0.02760395067560672,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,1.8855602019637046,1,0.10887867008910741,0,0.33425494395101885,0,0.7061566860643979,0,0.00925124862198832,0,0,0.7573375934120709,0
1481-3-10-19-3,0.43216443277798594,2020,2.3640058348544715,0.02681918331403683,0,3.939474030413355,0.005053646850057481,0,0.2583579454492328,0,0,0,0.04747635193765164,0,0.2075693073151407,0,0.00331228619644045,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.05357153580920054,0,0.10887867008910741,0,1.2646817208658012,1,0.7061566860643979,0,0.3057162317316199,0,0,0.7573375934120709,0
1481-3-10-19-4,1.077746762650676,2020,8.790272646140535,1.7656013195073057,1,17.431248459658967,1.7145682528498711,1,1.0190443371291174,0,0,0,0.1346994009959698,0.00552059884190559,0.7971241292177152,0,0.08170020807352663,0.16970882291997166,0,0.552693304551115,0,0.08979704389253033,0,0.7881280415898697,0,1.0033512455870557,1,0.40915926308268996,0,0.7061566860643979,0,0.6509606544990715,0,0.4366196327894018,0.3608708216993237,0
